2014,3027,2001,3013,3003,whole weat flour,3023,3012,1027,3005,1033,1022,1004,1033,1026,1013,3011,1029,2007,1020
1001,1025,3028,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,
1011,2001,,,,,,,,,,,,,,,,,,
1026,1032,1017,3031,1022,,,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,
2013,2016,,,,,,,,,,,,,,,,,,
3013,3014,3019,,,,,,,,,,,,,,,,,
3016,3022,1022,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,
3028,3018,,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,
1011,1001,1026,3028,1015,,,,,,,,,,,,,,,
3022,2011,1024,,,,,,,,,,,,,,,,,
1026,1013,,,,,,,,,,,,,,,,,,
1026,,,,,,,,,,,,,,,,,,,
2014,2017,2018,1004,3026,1015,1033,,,,,,,,,,,,,
1011,3028,,,,,,,,,,,,,,,,,,
1011,3004,3002,3022,1026,3015,1013,3028,2018,2015,,,,,,,,,,
1025,1032,1004,2016,1009,,,,,,,,,,,,,,,
1021,2014,1006,1007,3028,2017,2012,,,,,,,,,,,,,
3020,3029,,,,,,,,,,,,,,,,,,
3022,1026,3004,3003,3001,1022,,,,,,,,,,,,,,
1001,2016,2014,1006,2001,1004,1004,1005,,,,,,,,,,,,
3028,,,,,,,,,,,,,,,,,,,
1008,3022,3013,2001,1032,1028,,,,,,,,,,,,,,
1010,3022,1026,1032,1017,3015,1013,1029,2005,,,,,,,,,,,
3029,,,,,,,,,,,,,,,,,,,
1026,3028,2018,2017,2016,,,,,,,,,,,,,,,
3016,3022,3023,1026,,,,,,,,,,,,,,,,
1007,1034,3014,2002,,,,,,,,,,,,,,,,
1026,2017,2001,3028,,,,,,,,,,,,,,,,
1011,2016,2002,,,,,,,,,,,,,,,,,
3016,2002,2017,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,
3010,3022,1013,2005,,,,,,,,,,,,,,,,
1017,2016,,,,,,,,,,,,,,,,,,
1021,1010,1026,,,,,,,,,,,,,,,,,
1026,3011,3012,,,,,,,,,,,,,,,,,
3010,2011,1022,,,,,,,,,,,,,,,,,
3022,,,,,,,,,,,,,,,,,,,
3004,3016,3022,1026,1004,3031,1029,2005,,,,,,,,,,,,
3022,,,,,,,,,,,,,,,,,,,
3013,1025,1022,3029,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
3013,2001,2016,1022,1023,3003,3001,1022,,,,,,,,,,,,
1026,2018,1015,1030,,,,,,,,,,,,,,,,
1026,1012,,,,,,,,,,,,,,,,,,
2001,2003,,,,,,,,,,,,,,,,,,
1001,3015,1022,,,,,,,,,,,,,,,,,
3022,2017,1023,1004,1022,,,,,,,,,,,,,,,
3004,1026,3028,,,,,,,,,,,,,,,,,
3022,2003,,,,,,,,,,,,,,,,,,
3022,2017,,,,,,,,,,,,,,,,,,
2016,2005,2011,,,,,,,,,,,,,,,,,
1034,1020,,,,,,,,,,,,,,,,,,
1011,3004,3016,3002,1010,3022,1026,2017,3013,1032,1020,,,,,,,,,
3028,1024,,,,,,,,,,,,,,,,,,
3013,2018,1016,1031,3003,1027,1022,,,,,,,,,,,,,
1011,3016,1026,1009,1015,1022,,,,,,,,,,,,,,
3022,,,,,,,,,,,,,,,,,,,
1030,,,,,,,,,,,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,
3013,1012,3019,1009,1022,,,,,,,,,,,,,,,
1011,3028,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,
2017,1032,,,,,,,,,,,,,,,,,,
1007,2013,1010,1026,2001,1009,3031,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,
2014,1006,,,,,,,,,,,,,,,,,,
2016,1007,3002,1034,1009,,,,,,,,,,,,,,,
1001,2005,3019,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,,,,
3013,3028,,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,
1026,2017,1033,,,,,,,,,,,,,,,,,
3028,2002,,,,,,,,,,,,,,,,,,
2016,1010,3022,1026,1004,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,
3028,3011,2016,,,,,,,,,,,,,,,,,
1001,3022,1032,2016,1022,,,,,,,,,,,,,,,
1026,1017,1018,2016,,,,,,,,,,,,,,,,
1001,2016,1007,1026,3028,1015,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,
1017,1027,,,,,,,,,,,,,,,,,,
2017,1029,,,,,,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,
1020,1033,,,,,,,,,,,,,,,,,,
1001,2016,1033,1022,,,,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,
1001,1007,2014,1006,3022,1026,1025,1020,1017,1033,3028,2006,,,,,,,,
2011,1033,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,
1001,3027,3028,2016,1024,1022,,,,,,,,,,,,,,
3004,3013,2005,3003,,,,,,,,,,,,,,,,
1011,3004,3016,1007,3026,2015,3029,2002,,,,,,,,,,,,
2003,3028,1024,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,
3016,2013,1010,3022,2017,1022,,,,,,,,,,,,,,
1026,2028,2017,,,,,,,,,,,,,,,,,
1001,1007,1017,3027,3028,1009,3024,3017,,,,,,,,,,,,
1011,1001,1010,2017,3013,3027,3028,1022,3012,,,,,,,,,,,
3004,3022,2017,3028,,,,,,,,,,,,,,,,
1010,1017,3018,3007,1009,,,,,,,,,,,,,,,
1010,1034,3022,1026,3027,3028,,,,,,,,,,,,,,
1026,1020,1016,1015,,,,,,,,,,,,,,,,
2014,1006,1026,3013,2001,1032,1020,3003,3028,1012,,,,,,,,,,
2014,1006,3013,3011,1015,2018,1020,1033,,,,,,,,,,,,
3022,1026,2017,2016,2011,2005,3004,1028,,,,,,,,,,,,
2014,1006,1026,3028,,,,,,,,,,,,,,,,
1001,3026,3005,1028,,,,,,,,,,,,,,,,
1033,3028,2017,1033,,,,,,,,,,,,,,,,
2018,3028,2016,3001,,,,,,,,,,,,,,,,
1011,1007,1013,1004,3006,,,,,,,,,,,,,,,
2016,3022,1020,3028,2016,1022,,,,,,,,,,,,,,
1026,1017,,,,,,,,,,,,,,,,,,
3028,2016,,,,,,,,,,,,,,,,,,
1001,3002,1026,3013,1032,3027,3028,2017,3005,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,
3002,3022,1029,,,,,,,,,,,,,,,,,
1010,3022,1032,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,
2017,1032,,,,,,,,,,,,,,,,,,
1001,2014,1006,3016,3022,1026,1032,3028,2017,2016,3001,1033,,,,,,,,
1010,1026,3011,1009,,,,,,,,,,,,,,,,
2016,2013,1010,3022,3011,1027,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,
3001,,,,,,,,,,,,,,,,,,,
1029,,,,,,,,,,,,,,,,,,,
3007,1022,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,
1011,1001,2017,1020,3028,1015,1009,,,,,,,,,,,,,
3016,3002,1007,3022,1026,3001,2018,2008,3029,2016,3005,1028,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,
